game_id,game_date,opponent,team_name,season_academic_year,is_win,goal_diff,shot_diff,pim_diff,p3_defensive_collapse,p3_shot_surge,travel_hours,travel_to_hours,travel_from_hours,is_long_trip,is_flight,is_cross_timezone,days_since_last,is_home,month,day_of_week
5728388,2024-10-11 19:00:00,St Lawrence / Clarkson,Notre Dame,2025,1,3,17,-2.0,-1,-4,2.4,2.0,2.0,0,1,0,5.0,0,10,4
5728391,2024-10-12 19:00:00,St Lawrence / Clarkson,Notre Dame,2025,1,3,4,-6.0,-2,6,2.4,2.0,2.0,0,1,0,1.0,0,10,5
5728395,2024-10-18 19:05:00,,Notre Dame,2025,1,3,26,-2.0,1,-5,0.0,0.0,0.0,0,0,0,6.0,1,10,4
5728396,2024-10-19 18:05:00,,Notre Dame,2025,0,-1,26,11.0,0,3,0.0,0.0,0.0,0,0,0,0.0,1,10,5
5728397,2024-10-25 19:05:00,,Notre Dame,2025,1,3,-17,7.0,1,2,0.0,0.0,0.0,0,0,0,6.0,1,10,4
5728398,2024-10-26 18:05:00,,Notre Dame,2025,0,-3,4,-19.0,2,9,0.0,0.0,0.0,0,0,0,0.0,1,10,5
5729021,2024-11-01 19:05:00,,Notre Dame,2025,1,1,-28,4.0,0,-6,0.0,0.0,0.0,0,0,0,6.0,1,11,4
5729022,2024-11-02 18:05:00,,Notre Dame,2025,0,-1,-28,2.0,0,-1,0.0,0.0,0.0,0,0,0,0.0,1,11,5
5722525,2024-11-08 18:00:00,Michigan,Notre Dame,2025,0,-1,-43,2.0,0,-3,2.75,2.75,2.75,0,0,0,5.0,0,11,4
5722526,2024-11-09 19:00:00,Michigan,Notre Dame,2025,0,-2,-12,4.0,-1,2,2.75,2.75,2.75,0,0,0,1.0,0,11,5
5722592,2024-11-15 19:00:00,Michigan State,Notre Dame,2025,0,-5,-38,-2.0,1,-2,2.5,2.5,2.5,0,0,0,6.0,0,11,4
5722591,2024-11-16 20:00:00,Michigan State,Notre Dame,2025,0,-1,-8,-4.0,-2,7,2.5,2.5,2.5,0,0,0,1.0,0,11,5
5722441,2024-11-22 19:05:00,,Notre Dame,2025,0,-3,-12,15.0,1,-2,0.0,0.0,0.0,0,0,0,5.0,1,11,4
5722442,2024-11-23 18:05:00,,Notre Dame,2025,0,-2,-28,6.0,1,-1,0.0,0.0,0.0,0,0,0,0.0,1,11,5
5722690,2024-11-29 19:00:00,Harvard / Boston University,Notre Dame,2025,1,3,4,-4.0,0,1,11.45,11.0,11.0,1,1,1,6.0,0,11,4
5722693,2024-11-30 14:00:00,Harvard / Boston University,Notre Dame,2025,0,-1,-7,-2.0,2,4,11.45,11.0,11.0,1,1,1,0.0,0,11,5
5722642,2024-12-13 19:00:00,Ohio State,Notre Dame,2025,0,-1,-19,0.0,1,-3,1.1833333333333333,1.0,1.0,0,1,0,13.0,0,12,4
5722641,2024-12-14 19:00:00,Ohio State,Notre Dame,2025,0,-2,-27,6.0,0,5,1.1833333333333333,1.0,1.0,0,1,0,1.0,0,12,5
5722305,2025-01-03 20:30:00,Penn State,Notre Dame,2025,1,0,-2,0.0,0,-3,2.0,2.0,2.0,0,0,1,20.0,0,1,4
5722307,2025-01-05 17:05:00,,Notre Dame,2025,0,-3,8,-4.0,1,1,0.0,0.0,0.0,0,0,0,1.0,1,1,6
5735480,2025-01-10 19:05:00,,Notre Dame,2025,0,-2,-5,2.0,-2,1,0.0,0.0,0.0,0,0,0,5.0,1,1,4
5735481,2025-01-11 18:05:00,,Notre Dame,2025,1,3,-24,4.0,0,-4,0.0,0.0,0.0,0,0,0,0.0,1,1,5
5722453,2025-01-17 19:00:00,Minnesota,Notre Dame,2025,0,-3,-36,2.0,-5,-1,2.066666666666667,1.75,1.75,0,1,1,6.0,0,1,4
5722454,2025-01-18 17:00:00,Minnesota,Notre Dame,2025,1,1,-7,0.0,0,-9,2.066666666666667,1.75,1.75,0,1,1,0.0,0,1,5
5728399,2025-01-24 19:05:00,,Notre Dame,2025,0,-1,8,-4.0,0,2,0.0,0.0,0.0,0,0,0,6.0,1,1,4
5728400,2025-01-25 18:05:00,,Notre Dame,2025,1,2,14,2.0,1,1,0.0,0.0,0.0,0,0,0,0.0,1,1,5
5722645,2025-02-07 19:05:00,,Notre Dame,2025,0,-4,0,-4.0,1,-5,0.0,0.0,0.0,0,0,0,13.0,1,2,4
5722646,2025-02-08 18:05:00,,Notre Dame,2025,0,-4,4,-2.0,1,-10,0.0,0.0,0.0,0,0,0,0.0,1,2,5
5722177,2025-02-14 19:00:00,Penn State,Notre Dame,2025,0,-2,-8,2.0,-2,5,2.1666666666666665,2.0,2.0,0,1,0,6.0,0,2,4
5722178,2025-02-15 17:00:00,Penn State,Notre Dame,2025,0,-1,19,-2.0,0,9,2.1666666666666665,2.0,2.0,0,1,0,0.0,0,2,5
5729023,2025-02-21 19:30:00,Wisconsin,Notre Dame,2025,0,-4,-2,-6.0,-3,2,1.2333333333333334,1.0,1.0,0,1,1,6.0,0,2,4
5729024,2025-02-22 19:30:00,Wisconsin,Notre Dame,2025,1,5,-23,11.0,0,-2,1.2333333333333334,1.0,1.0,0,1,1,1.0,0,2,5
5735482,2025-02-28 19:05:00,,Notre Dame,2025,0,-3,-16,-2.0,0,-3,0.0,0.0,0.0,0,0,0,5.0,1,2,4
5735483,2025-03-01 18:05:00,,Notre Dame,2025,0,-3,-33,0.0,1,-1,0.0,0.0,0.0,0,0,0,0.0,1,3,5
6364024,2025-03-07 20:00:00,Minnesota,Notre Dame,2025,1,1,-33,2.0,0,-3,2.066666666666667,1.75,1.75,0,1,1,6.0,0,3,4
